t, y
0,3.26372
4.53515e-05,3.2481
9.07029e-05,3.23525
0.000136054,3.22599
0.000181406,3.21803
0.000226757,3.21087
0.000272109,3.20452
0.00031746,3.19839
0.000362812,3.1929
0.000408163,3.1874
0.000453515,3.18243
0.000498866,3.17735
0.000544218,3.17275
0.000589569,3.16796
0.000634921,3.16363
0.000680272,3.15906
0.000725624,3.15492
0.000770975,3.15052
0.000816327,3.14653
0.000861678,3.14226
0.000907029,3.13839
0.000952381,3.13423
0.000997732,3.13045
0.00104308,3.12637
0.00108844,3.12267
0.00113379,3.11866
0.00117914,3.11503
0.00122449,3.11108
0.00126984,3.10749
0.00131519,3.10359
0.00136054,3.10005
0.0014059,3.09619
0.00145125,3.0927
0.0014966,3.08888
0.00154195,3.08541
0.0015873,3.08163
0.00163265,3.0782
0.001678,3.07444
0.00172336,3.07105
0.00176871,3.06732
0.00181406,3.06396
0.00185941,3.06026
0.00190476,3.05692
0.00195011,3.05326
0.00199546,3.04995
0.00204082,3.04632
0.00208617,3.04303
0.00213152,3.03943
0.00217687,3.03618
0.00222222,3.03261
0.00226757,3.02938
0.00231293,3.02585
0.00235828,3.02265
0.00240363,3.01915
0.00244898,3.01598
0.00249433,3.01252
0.00253968,3.00938
0.00258503,3.00595
0.00263039,3.00285
0.00267574,2.99946
0.00272109,2.99639
0.00276644,2.99304
0.00281179,2.99
0.00285714,2.98669
0.00290249,2.98369
0.00294785,2.98041
0.0029932,2.97746
0.00303855,2.97422
0.0030839,2.97131
0.00312925,2.96809
0.0031746,2.96525
0.00321995,2.96201
0.00326531,2.9593
0.00331066,2.95598
0.00335601,2.9535
0.00340136,2.94991
0.00344671,2.94792
0.00349206,2.94375
0.00353741,2.94263
0.00358277,2.93747
0.00362812,2.93749
0.00367347,2.93144
0.00371882,2.93189
0.00376417,2.92647
0.00380952,2.92503
0.00385488,2.92285
0.00390023,2.91775
0.00394558,2.9183
0.00399093,2.91317
0.00403628,2.91055
0.00408163,2.91055
0.00412698,2.90424
0.00417234,2.90351
0.00421769,2.90241
0.00426304,2.89646
0.00430839,2.89544
0.00435374,2.89515
0.00439909,2.88893
0.00444444,2.88706
0.0044898,2.88759
0.00453515,2.88288
0.0045805,2.87818
0.00462585,2.87921
0.0046712,2.87734
0.00471655,2.87148
0.0047619,2.86895
0.00480726,2.87027
0.00485261,2.86715
0.00489796,2.86136
0.00494331,2.85929
0.00498866,2.86063
0.00503401,2.85797
0.00507937,2.85219
0.00512472,2.84894
0.00517007,2.85009
0.00521542,2.84934
0.00526077,2.84448
0.00530612,2.83908
0.00535147,2.8382
0.00539683,2.83921
0.00544218,2.83766
0.00548753,2.83206
0.00553288,2.8273
0.00557823,2.82616
0.00562358,2.82749
0.00566893,2.82627
0.00571429,2.82161
0.00575964,2.81589
0.00580499,2.81342
0.00585034,2.81392
0.00589569,2.8147
0.00594104,2.81209
0.00598639,2.80683
0.00603175,2.80149
0.0060771,2.7994
0.00612245,2.79989
0.0061678,2.80076
0.00621315,2.79875
0.0062585,2.79403
0.00630385,2.78829
0.00634921,2.78474
0.00639456,2.78394
0.00643991,2.78507
0.00648526,2.78506
0.00653061,2.78265
0.00657596,2.77747
0.00662132,2.77209
0.00666667,2.76803
0.00671202,2.76709
0.00675737,2.76753
0.00680272,2.76856
0.00684807,2.76685
0.00689342,2.76368
0.00693878,2.75748
0.00698413,2.75322
0.00702948,2.74851
0.00707483,2.74898
0.00712018,2.74775
0.00716553,2.75063
0.00721088,2.74761
0.00725624,2.74715
0.00730159,2.74004
0.00734694,2.73646
0.00739229,2.73048
0.00743764,2.72796
0.00748299,2.72781
0.00752834,2.72683
0.0075737,2.72969
0.00761905,2.7273
0.0076644,2.72637
0.00770975,2.72234
0.0077551,2.71562
0.00780045,2.71282
0.0078458,2.70612
0.00789116,2.70501
0.00793651,2.70468
0.00798186,2.7033
0.00802721,2.70627
0.00807256,2.70531
0.00811791,2.70289
0.00816327,2.7023
0.00820862,2.6955
0.00825397,2.69068
0.00829932,2.68735
0.00834467,2.68105
0.00839002,2.67904
0.00843537,2.67984
0.00848073,2.67741
0.00852608,2.67911
0.00857143,2.68127
0.00861678,2.67869
0.00866213,2.67714
0.00870748,2.67633
0.00875283,2.66981
0.00879819,2.66431
0.00884354,2.66166
0.00888889,2.65634
0.00893424,2.65106
0.00897959,2.65147
0.00902494,2.65127
0.00907029,2.64917
0.00911565,2.65045
0.009161,2.65346
0.00920635,2.65168
0.0092517,2.64913
0.00929705,2.64894
0.0093424,2.64649
0.00938776,2.63953
0.00943311,2.63454
0.00947846,2.63212
0.00952381,2.62759
0.00956916,2.62146
0.00961451,2.6197
0.00965986,2.62074
0.00970522,2.61977
0.00975057,2.61767
0.00979592,2.6193
0.00984127,2.6223
0.00988662,2.6219
0.00993197,2.61872
0.00997732,2.61766
0.0100227,2.61745
0.010068,2.61401
0.0101134,2.60708
0.0101587,2.60208
0.0102041,2.59953
0.0102494,2.5965
0.0102948,2.59025
0.0103401,2.58588
0.0103855,2.5847
0.0104308,2.58648
0.0104762,2.58472
0.0105215,2.58349
0.0105669,2.5824
0.0106122,2.5868
0.0106576,2.58722
0.0107029,2.58758
0.0107483,2.58255
0.0107937,2.58329
0.010839,2.58138
0.0108844,2.58122
0.0109297,2.57426
0.0109751,2.56857
0.0110204,2.56397
0.0110658,2.56134
0.0111111,2.55947
0.0111565,2.55258
0.0112018,2.54856
0.0112472,2.54417
0.0112925,2.5453
0.0113379,2.54631
0.0113832,2.54426
0.0114286,2.5438
0.0114739,2.54068
0.0115193,2.54425
0.0115646,2.54641
0.01161,2.54725
0.0116553,2.54692
0.0117007,2.54206
0.011746,2.54144
0.0117914,2.54115
0.0118367,2.53946
0.0118821,2.53864
0.0119274,2.53102
0.0119728,2.52518
0.0120181,2.52124
0.0120635,2.51677
0.0121088,2.51612
0.0121542,2.51245
0.0121995,2.5054
0.0122449,2.50193
0.0122902,2.49715
0.0123356,2.49594
0.012381,2.49868
0.0124263,2.49756
0.0124717,2.49596
0.012517,2.4955
0.0125624,2.4921
0.0126077,2.49315
0.0126531,2.49726
0.0126984,2.49804
0.0127438,2.49879
0.0127891,2.49885
0.0128345,2.49394
0.0128798,2.49144
0.0129252,2.49221
0.0129705,2.4907
0.0130159,2.4894
0.0130612,2.48879
0.0131066,2.48259
0.0131519,2.47506
0.0131973,2.47117
0.0132426,2.46703
0.013288,2.46263
0.0133333,2.46207
0.0133787,2.46004
0.013424,2.45348
0.0134694,2.44795
0.0135147,2.44479
0.0135601,2.44012
0.0136054,2.43787
0.0136508,2.44019
0.0136961,2.44167
0.0137415,2.43923
0.0137868,2.43843
0.0138322,2.4377
0.0138776,2.43521
0.0139229,2.43289
0.0139683,2.43678
0.0140136,2.43956
0.014059,2.44102
0.0141043,2.44035
0.0141497,2.44283
0.014195,2.43889
0.0142404,2.43557
0.0142857,2.43186
