t, y
0,16.5429
4.53515e-05,16.3813
9.07029e-05,16.2181
0.000136054,16.053
0.000181406,15.8862
0.000226757,15.7175
0.000272109,15.5468
0.00031746,15.3742
0.000362812,15.1994
0.000408163,15.0226
0.000453515,14.8435
0.000498866,14.6621
0.000544218,14.4784
0.000589569,14.2922
0.000634921,14.1034
0.000680272,13.9119
0.000725624,13.7177
0.000770975,13.5205
0.000816327,13.3203
0.000861678,13.117
0.000907029,12.9103
0.000952381,12.7002
0.000997732,12.4864
0.00104308,12.2688
0.00108844,12.0471
0.00113379,11.8211
0.00117914,11.5906
0.00122449,11.3553
0.00126984,11.1149
0.00131519,10.8691
0.00136054,10.6174
0.0014059,10.3595
0.00145125,10.0949
0.0014966,9.82301
0.00154195,9.54324
0.0015873,9.25487
0.00163265,8.95708
0.001678,8.6489
0.00172336,8.32916
0.00176871,7.99649
0.00181406,7.64921
0.00185941,7.28521
0.00190476,6.90187
0.00195011,6.49575
0.00199546,6.06229
0.00204082,5.59514
0.00208617,5.08502
0.00213152,4.51739
0.00217687,3.86704
0.00222222,3.08202
0.00226757,2.01035
0.00231293,1.1908
0.00235828,2.62289
0.00240363,3.51329
0.00244898,4.22007
0.00249433,4.82462
0.00253968,5.36162
0.00258503,5.84971
0.00263039,6.30027
0.00267574,6.72084
0.00272109,7.11674
0.00276644,7.49188
0.00281179,7.84924
0.00285714,8.19115
0.00290249,8.51945
0.00294785,8.83568
0.0029932,9.14108
0.00303855,9.4367
0.0030839,9.72343
0.00312925,10.002
0.0031746,10.2732
0.00321995,10.5374
0.00326531,10.7953
0.00331066,11.0472
0.00335601,11.2936
0.00340136,11.5348
0.00344671,11.7712
0.00349206,12.0029
0.00353741,12.2303
0.00358277,12.4537
0.00362812,12.6731
0.00367347,12.8889
0.00371882,13.1012
0.00376417,13.3102
0.00380952,13.516
0.00385488,13.7188
0.00390023,13.9186
0.00394558,14.1157
0.00399093,14.3101
0.00403628,14.502
0.00408163,14.6914
0.00412698,14.8784
0.00417234,15.0632
0.00421769,15.2457
0.00426304,15.4262
0.00430839,15.6046
0.00435374,15.781
0.00439909,15.9555
0.00444444,16.1282
0.0044898,16.2991
0.00453515,16.4682
0.0045805,16.6356
0.00462585,16.8014
0.0046712,16.9657
0.00471655,17.1283
0.0047619,17.2895
0.00480726,17.4492
0.00485261,17.6075
0.00489796,17.7644
0.00494331,17.92
0.00498866,18.0743
0.00503401,18.2272
0.00507937,18.3789
0.00512472,18.5295
0.00517007,18.6788
0.00521542,18.8269
0.00526077,18.9739
0.00530612,19.1198
0.00535147,19.2647
0.00539683,19.4084
0.00544218,19.5511
0.00548753,19.6928
0.00553288,19.8336
0.00557823,19.9733
0.00562358,20.1121
0.00566893,20.2499
0.00571429,20.3868
0.00575964,20.5228
0.00580499,20.658
0.00585034,20.7923
0.00589569,20.9257
0.00594104,21.0583
0.00598639,21.19
0.00603175,21.321
0.0060771,21.4512
0.00612245,21.5806
0.0061678,21.7092
0.00621315,21.8371
0.0062585,21.9642
0.00630385,22.0907
0.00634921,22.2164
0.00639456,22.3414
0.00643991,22.4657
0.00648526,22.5893
0.00653061,22.7123
0.00657596,22.8346
0.00662132,22.9562
0.00666667,23.0773
0.00671202,23.1976
0.00675737,23.3174
0.00680272,23.4366
0.00684807,23.5551
0.00689342,23.6731
0.00693878,23.7904
0.00698413,23.9072
0.00702948,24.0235
0.00707483,24.1391
0.00712018,24.2542
0.00716553,24.3688
0.00721088,24.4828
0.00725624,24.5963
0.00730159,24.7093
0.00734694,24.8217
0.00739229,24.9336
0.00743764,25.045
0.00748299,25.156
0.00752834,25.2664
0.0075737,25.3763
0.00761905,25.4858
0.0076644,25.5948
0.00770975,25.7033
0.0077551,25.8113
0.00780045,25.9189
0.0078458,26.0261
0.00789116,26.1327
0.00793651,26.239
0.00798186,26.3448
0.00802721,26.4502
0.00807256,26.5551
0.00811791,26.6596
0.00816327,26.7637
0.00820862,26.8674
0.00825397,26.9706
0.00829932,27.0735
0.00834467,27.1759
0.00839002,27.278
0.00843537,27.3796
0.00848073,27.4809
0.00852608,27.5818
0.00857143,27.6823
0.00861678,27.7824
0.00866213,27.8821
0.00870748,27.9815
0.00875283,28.0805
0.00879819,28.1791
0.00884354,28.2774
0.00888889,28.3753
0.00893424,28.4728
0.00897959,28.57
0.00902494,28.6669
0.00907029,28.7634
0.00911565,28.8596
0.009161,28.9554
0.00920635,29.0509
0.0092517,29.146
0.00929705,29.2408
0.0093424,29.3353
0.00938776,29.4295
0.00943311,29.5233
0.00947846,29.6169
0.00952381,29.7101
0.00956916,29.803
0.00961451,29.8955
0.00965986,29.9878
0.00970522,30.0798
0.00975057,30.1714
0.00979592,30.2628
0.00984127,30.3538
0.00988662,30.4446
