t, y
0,30
4.53515e-05,30.0033
9.07029e-05,30.0065
0.000136054,30.0098
0.000181406,30.0131
0.000226757,30.0163
0.000272109,30.0196
0.00031746,30.0229
0.000362812,30.0261
0.000408163,30.0294
0.000453515,30.0327
0.000498866,30.036
0.000544218,30.0392
0.000589569,30.0425
0.000634921,30.0458
0.000680272,30.049
0.000725624,30.0523
0.000770975,30.0556
0.000816327,30.0589
0.000861678,30.0622
0.000907029,30.0654
0.000952381,30.0687
0.000997732,30.072
0.00104308,30.0753
0.00108844,30.0785
0.00113379,30.0818
0.00117914,30.0851
0.00122449,30.0884
0.00126984,30.0917
0.00131519,30.095
0.00136054,30.0982
0.0014059,30.1015
0.00145125,30.1048
0.0014966,30.1081
0.00154195,30.1114
0.0015873,30.1147
0.00163265,30.118
0.001678,30.1212
0.00172336,30.1245
0.00176871,30.1278
0.00181406,30.1311
0.00185941,30.1344
0.00190476,30.1377
0.00195011,30.141
0.00199546,30.1443
0.00204082,30.1476
0.00208617,30.1509
0.00213152,30.1542
0.00217687,30.1574
0.00222222,30.1607
0.00226757,30.164
0.00231293,30.1673
0.00235828,30.1706
0.00240363,30.1739
0.00244898,30.1772
0.00249433,30.1805
0.00253968,30.1838
0.00258503,30.1871
0.00263039,30.1904
0.00267574,30.1937
0.00272109,30.197
0.00276644,30.2003
0.00281179,30.2036
0.00285714,30.2069
0.00290249,30.2102
0.00294785,30.2136
0.0029932,30.2169
0.00303855,30.2202
0.0030839,30.2235
0.00312925,30.2268
0.0031746,30.2301
0.00321995,30.2334
0.00326531,30.2367
0.00331066,30.24
0.00335601,30.2433
0.00340136,30.2466
0.00344671,30.25
0.00349206,30.2533
0.00353741,30.2566
0.00358277,30.2599
0.00362812,30.2632
0.00367347,30.2665
0.00371882,30.2698
0.00376417,30.2732
0.00380952,30.2765
0.00385488,30.2798
0.00390023,30.2831
0.00394558,30.2864
0.00399093,30.2897
0.00403628,30.2931
0.00408163,30.2964
0.00412698,30.2997
0.00417234,30.303
0.00421769,30.3064
0.00426304,30.3097
0.00430839,30.313
0.00435374,30.3163
0.00439909,30.3197
0.00444444,30.323
0.0044898,30.3263
0.00453515,30.3296
0.0045805,30.333
0.00462585,30.3363
0.0046712,30.3396
0.00471655,30.3429
0.0047619,30.3463
0.00480726,30.3496
0.00485261,30.3529
0.00489796,30.3563
0.00494331,30.3596
0.00498866,30.3629
0.00503401,30.3663
0.00507937,30.3696
0.00512472,30.3729
0.00517007,30.3763
0.00521542,30.3796
0.00526077,30.383
0.00530612,30.3863
0.00535147,30.3896
0.00539683,30.393
0.00544218,30.3963
0.00548753,30.3996
0.00553288,30.403
0.00557823,30.4063
0.00562358,30.4097
0.00566893,30.413
0.00571429,30.4164
0.00575964,30.4197
0.00580499,30.423
0.00585034,30.4264
0.00589569,30.4297
0.00594104,30.4331
0.00598639,30.4364
0.00603175,30.4398
0.0060771,30.4431
0.00612245,30.4465
0.0061678,30.4498
0.00621315,30.4532
0.0062585,30.4565
0.00630385,30.4599
0.00634921,30.4632
0.00639456,30.4666
0.00643991,30.4699
0.00648526,30.4733
0.00653061,30.4766
0.00657596,30.48
0.00662132,30.4834
0.00666667,30.4867
0.00671202,30.4901
0.00675737,30.4934
0.00680272,30.4968
0.00684807,30.5001
0.00689342,30.5035
0.00693878,30.5069
0.00698413,30.5102
0.00702948,30.5136
0.00707483,30.517
0.00712018,30.5203
0.00716553,30.5237
0.00721088,30.527
0.00725624,30.5304
0.00730159,30.5338
0.00734694,30.5371
0.00739229,30.5405
0.00743764,30.5439
0.00748299,30.5472
0.00752834,30.5506
0.0075737,30.554
0.00761905,30.5574
0.0076644,30.5607
0.00770975,30.5641
0.0077551,30.5675
0.00780045,30.5708
0.0078458,30.5742
0.00789116,30.5776
0.00793651,30.581
0.00798186,30.5843
0.00802721,30.5877
