t, y
0,-0.304075
4.53515e-05,-0.298099
9.07029e-05,-0.292122
0.000136054,-0.286144
0.000181406,-0.280165
0.000226757,-0.274184
0.000272109,-0.268203
0.00031746,-0.262221
0.000362812,-0.256239
0.000408163,-0.250255
0.000453515,-0.24427
0.000498866,-0.238285
0.000544218,-0.232298
0.000589569,-0.226311
0.000634921,-0.220323
0.000680272,-0.214335
0.000725624,-0.208345
0.000770975,-0.202355
0.000816327,-0.196364
0.000861678,-0.190373
0.000907029,-0.184381
0.000952381,-0.178388
0.000997732,-0.172395
0.00104308,-0.166401
0.00108844,-0.160407
0.00113379,-0.154412
0.00117914,-0.148416
0.00122449,-0.14242
0.00126984,-0.136424
0.00131519,-0.130427
0.00136054,-0.12443
0.0014059,-0.118433
0.00145125,-0.112435
0.0014966,-0.106437
0.00154195,-0.100438
0.0015873,-0.0944397
0.00163265,-0.0884407
0.001678,-0.0824415
0.00172336,-0.0764421
0.00176871,-0.0704425
0.00181406,-0.0644427
0.00185941,-0.0584428
0.00190476,-0.0524428
0.00195011,-0.0464427
0.00199546,-0.0404426
0.00204082,-0.0344424
0.00208617,-0.0284422
0.00213152,-0.022442
0.00217687,-0.0164419
0.00222222,-0.0104418
0.00226757,-0.00444175
0.00231293,0.00155816
0.00235828,0.00755794
0.00240363,0.0135576
0.00244898,0.019557
0.00249433,0.0255563
0.00253968,0.0315553
0.00258503,0.037554
0.00263039,0.0435525
0.00267574,0.0495507
0.00272109,0.0555486
0.00276644,0.0615461
0.00281179,0.0675433
0.00285714,0.0735401
0.00290249,0.0795364
0.00294785,0.0855323
0.0029932,0.0915278
0.00303855,0.0975227
0.0030839,0.103517
0.00312925,0.109511
0.0031746,0.115504
0.00321995,0.121497
0.00326531,0.127489
0.00331066,0.133481
0.00335601,0.139472
0.00340136,0.145462
0.00344671,0.151451
0.00349206,0.15744
0.00353741,0.163428
0.00358277,0.169415
0.00362812,0.175402
0.00367347,0.181387
0.00371882,0.187372
0.00376417,0.193356
0.00380952,0.199339
0.00385488,0.205321
0.00390023,0.211302
0.00394558,0.217282
0.00399093,0.223261
0.00403628,0.229239
0.00408163,0.235216
0.00412698,0.241192
0.00417234,0.247167
0.00421769,0.253141
0.00426304,0.259114
0.00430839,0.265085
0.00435374,0.271055
0.00439909,0.277025
0.00444444,0.282992
0.0044898,0.288959
0.00453515,0.294924
0.0045805,0.300888
0.00462585,0.306851
0.0046712,0.312812
0.00471655,0.318772
0.0047619,0.324731
0.00480726,0.330688
0.00485261,0.336644
0.00489796,0.342598
0.00494331,0.348551
0.00498866,0.354502
0.00503401,0.360451
0.00507937,0.366399
0.00512472,0.372346
0.00517007,0.378291
0.00521542,0.384234
0.00526077,0.390176
0.00530612,0.396115
0.00535147,0.402053
